date,county,state,fips,cases,deaths
01/01/2023,Sterling,Texas,48431,317,9
01/01/2023,Stonewall,Texas,48433,409,7
01/01/2023,Sutton,Texas,48435,908,14
01/01/2023,Swisher,Texas,48437,2602,34
01/01/2023,Tarrant,Texas,48439,669436,6212
01/01/2023,Taylor,Texas,48441,42432,757
01/01/2023,Terrell,Texas,48443,137,3
01/01/2023,Terry,Texas,48445,2910,85
01/01/2023,Throckmorton,Texas,48447,293,10
01/01/2023,Titus,Texas,48449,10042,145
01/01/2023,Tom Green,Texas,48451,38894,485
01/01/2023,Travis,Texas,48453,286896,1814
01/01/2023,Trinity,Texas,48455,3155,76
01/01/2023,Tyler,Texas,48457,4909,93
01/01/2023,Unknown,Texas,,1467,0
01/01/2023,Upshur,Texas,48459,8937,218
01/01/2023,Upton,Texas,48461,926,18
01/01/2023,Uvalde,Texas,48463,11465,147
01/01/2023,Val Verde,Texas,48465,15740,308
01/01/2023,Van Zandt,Texas,48467,12315,313
01/01/2023,Victoria,Texas,48469,22438,424
01/01/2023,Walker,Texas,48471,21886,225
01/01/2023,Waller,Texas,48473,11386,125
01/01/2023,Ward,Texas,48475,3234,49
01/01/2023,Washington,Texas,48477,10726,160
01/01/2023,Webb,Texas,48479,109465,1084
01/01/2023,Wharton,Texas,48481,11189,226
01/01/2023,Wheeler,Texas,48483,1304,25
01/01/2023,Wichita,Texas,48485,39768,720
01/01/2023,Wilbarger,Texas,48487,4080,90
01/01/2023,Willacy,Texas,48489,8544,137
01/01/2023,Williamson,Texas,48491,165327,1010
01/01/2023,Wilson,Texas,48493,12647,173
01/01/2023,Winkler,Texas,48495,2163,36
01/01/2023,Wise,Texas,48497,19169,291
01/01/2023,Wood,Texas,48499,9491,302
01/01/2023,Yoakum,Texas,48501,1644,42
01/01/2023,Young,Texas,48503,4374,98
01/01/2023,Zapata,Texas,48505,4362,56
01/01/2023,Zavala,Texas,48507,4473,70
01/02/2023,Anderson,Texas,48001,10771,252
01/02/2023,Andrews,Texas,48003,4901,73
01/02/2023,Angelina,Texas,48005,16747,497
01/02/2023,Aransas,Texas,48007,5378,98
01/02/2023,Archer,Texas,48009,2563,32
01/02/2023,Armstrong,Texas,48011,650,11
01/02/2023,Atascosa,Texas,48013,15442,251
01/02/2023,Austin,Texas,48015,6829,84
01/02/2023,Bailey,Texas,48017,1711,39
01/02/2023,Bandera,Texas,48019,4201,80
01/02/2023,Bastrop,Texas,48021,26564,249
01/02/2023,Baylor,Texas,48023,925,33
01/02/2023,Bee,Texas,48025,9731,156
01/02/2023,Bell,Texas,48027,83015,935
01/02/2023,Bexar,Texas,48029,681230,6398
01/02/2023,Blanco,Texas,48031,3121,36
01/02/2023,Borden,Texas,48033,119,2
01/02/2023,Bosque,Texas,48035,4785,75
01/02/2023,Bowie,Texas,48037,24024,450
01/02/2023,Brazoria,Texas,48039,114049,1024
01/02/2023,Brazos,Texas,48041,72946,430
01/02/2023,Brewster,Texas,48043,1346,33
01/02/2023,Briscoe,Texas,48045,559,8
01/02/2023,Brooks,Texas,48047,2013,54
01/02/2023,Brown,Texas,48049,14586,233
01/02/2023,Burleson,Texas,48051,5896,70
01/02/2023,Burnet,Texas,48053,13296,179
01/02/2023,Caldwell,Texas,48055,17327,185
01/02/2023,Calhoun,Texas,48057,6831,53
01/02/2023,Callahan,Texas,48059,3421,77
01/02/2023,Cameron,Texas,48061,130561,2095
01/02/2023,Camp,Texas,48063,3483,77
01/02/2023,Carson,Texas,48065,1704,37
01/02/2023,Cass,Texas,48067,8716,207
01/02/2023,Castro,Texas,48069,2690,48
01/02/2023,Chambers,Texas,48071,12321,138
01/02/2023,Cherokee,Texas,48073,9459,279
01/02/2023,Childress,Texas,48075,2952,34
01/02/2023,Clay,Texas,48077,2433,44
01/02/2023,Cochran,Texas,48079,1010,25
01/02/2023,Coke,Texas,48081,1041,20
01/02/2023,Coleman,Texas,48083,2041,74
01/02/2023,Collin,Texas,48085,267843,1598
01/02/2023,Collingsworth,Texas,48087,852,19
01/02/2023,Colorado,Texas,48089,4342,68
01/02/2023,Comal,Texas,48091,42167,574
01/02/2023,Comanche,Texas,48093,3942,81
01/02/2023,Concho,Texas,48095,1328,12
01/02/2023,Cooke,Texas,48097,8423,153
01/02/2023,Coryell,Texas,48099,20767,227
01/02/2023,Cottle,Texas,48101,372,9
01/02/2023,Crane,Texas,48103,1508,24
